"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"PIH","1347 Property Insurance Holdings, Inc.","7.5","$44.69M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih",
"FLWS","1-800 FLOWERS.COM, Inc.","10.95","$714.83M","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"FCCY","1st Constitution Bancorp (NJ)","15.9","$126.93M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","39.3","$1.02B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","7.82","$890.31M","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","35.35","$1.66B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou",
"JOBS","51job, Inc.","35.01","$2.1B","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"CAFD","8point3 Energy Partners LP","13.07","$1.03B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd",
"EGHT","8x8 Inc","14.1","$1.28B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","16.25","$366.76M","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","33.15","$976M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AAON","AAON, Inc.","33.2","$1.75B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"ABAX","ABAXIS, Inc.","52.21","$1.18B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"ABEO","Abeona Therapeutics Inc.","6.55","$261.74M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","3.29","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeow",
"ABIL","Ability Inc.","3.56","$91.69M","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/abil",
"ABMD","ABIOMED, Inc.","112.09","$4.86B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","1.85","$249.94M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","11.86","$657M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","70.67","$2.64B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","7.15","$360.81M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","38.02","$3.33B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","27.65","$3.35B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad",
"ACST","Acasti Pharma, Inc.","1.8","$19.28M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","24.6","$1.27B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","36.52","$1.38B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xlrn",
"ANCX","Access National Corporation","27.13","$287.86M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ARAY","Accuray Incorporated","5.15","$420.72M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","3","$136M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx",
"ACET","Aceto Corporation","20.11","$604.33M","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/acet",
"AKAO","Achaogen, Inc.","5.36","$147.14M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akao",
"ACHN","Achillion Pharmaceuticals, Inc.","4.19","$572.69M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","18.72","$2.2B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","30.14","$645.99M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrs",
"ACNB","ACNB Corporation","31.45","$190.62M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","20.65","$952.26M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/acor",
"ACTS","Actions Semiconductor Co., Ltd.","2.13","$94.35M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts",
"ATVI","Activision Blizzard, Inc","37.95","$28.2B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi",
"ACTA","Actua Corporation","13.6","$536.89M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acta",
"ACUR","Acura Pharmaceuticals, Inc.","0.99","$11.72M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acur",
"ACXM","Acxiom Corporation","27.02","$2.09B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm",
"ADMS","Adamas Pharmaceuticals, Inc.","15.15","$333.03M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","2.85","$61.52M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/admp",
"ADAP","Adaptimmune Therapeutics plc","4.39","$310.75M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adap",
"ADUS","Addus HomeCare Corporation","34.8","$398.93M","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","1.73","$17.53M","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/aey",
"IOTS","Adesto Technologies Corporation","1.85","$28.66M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/iots",
"ADMA","ADMA Biologics Inc","5.71","$73.58M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adma",
"ADBE","Adobe Systems Incorporated","104.95","$52.18B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe",
"ADTN","ADTRAN, Inc.","20.7","$1B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/adtn",
"ADRO","Aduro Biotech, Inc.","12.4","$833.06M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adro",
"AAAP","Advanced Accelerator Applications S.A.","29.37","$1.27B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aaap",
"ADES","Advanced Emissions Solutions, Inc.","9.06","$199.34M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","56.28","$2.23B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis",
"AITP","Advanced Inhalation Therapies (AIT) Ltd.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aitp",
"AMD","Advanced Micro Devices, Inc.","8.93","$8.28B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd",
"ADXS","Advaxis, Inc.","8.56","$341.07M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxs",
"ADXSW","Advaxis, Inc.","4.65","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxsw",
"ADVM","Adverum Biotechnologies, Inc.","2.9","$120.98M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/advm",
